Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.6e-06,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,5,0.02,0.5,1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-3.248e-04,-0.0992183,0.0716656,-1.72672,0.0599999
-3.232e-04,-0.0992183,0.0715937,-1.72219,0.0564062
-3.216e-04,-0.0992183,0.0716,-1.71648,0.0584374
-3.200e-04,-0.0999995,0.0709625,-1.71,0.0599999
-3.184e-04,-0.0992183,0.0708594,-1.70992,0.0587499
-3.168e-04,-0.0992183,0.0708719,-1.71,0.0599999
-3.152e-04,-0.0992183,0.0707062,-1.70992,0.0599999
-3.136e-04,-0.0992183,0.070225,-1.70992,0.0601562
-3.120e-04,-0.0992183,0.0700312,-1.70992,0.0599999
-3.104e-04,-0.0992183,0.0700094,-1.70797,0.0592187
-3.088e-04,-0.0789058,0.0699906,-1.70633,0.0599999
-3.072e-04,-0.0718745,0.0694719,-1.70547,0.0601562
-3.056e-04,-0.0570308,0.0693312,-1.70523,0.0599999
-3.040e-04,-0.0273433,0.0692562,-1.70148,0.0592187
-3.024e-04,-0.00156202,0.0691969,-1.6918,0.0599999
-3.008e-04,0.039063,0.0686906,-1.69,0.0599999
-2.992e-04,0.0968755,0.0684281,-1.69,0.0599999
-2.976e-04,0.1,0.0684094,-1.69,0.0601562
-2.960e-04,0.1,0.0684125,-1.69,0.0601562
-2.944e-04,0.1,0.0679125,-1.69,0.0585937
-2.928e-04,0.100782,0.067725,-1.68992,0.0384374
-2.912e-04,0.100782,0.0676219,-1.68906,0.0601562
-2.896e-04,0.100782,0.0674687,-1.68703,0.0599999
-2.880e-04,0.100782,0.067075,-1.6868,0.0601562
-2.864e-04,0.176563,0.066925,-1.68219,0.0598437
-2.848e-04,0.203125,0.066825,-1.67242,0.0574999
-2.832e-04,0.3,0.0668031,-1.67,0.0601562
-2.816e-04,0.3,0.0662906,-1.67,0.0599999
-2.800e-04,0.300782,0.0660687,-1.66992,0.0581249
-2.784e-04,0.321875,0.0660312,-1.67,0.0598437
-2.768e-04,0.472657,0.0659937,-1.66992,0.0582812
-2.752e-04,0.5,0.0655,-1.66961,0.0599999
-2.736e-04,0.567969,0.0653562,-1.665,0.0599999
-2.720e-04,0.698438,0.0651969,-1.66547,0.0599999
-2.704e-04,0.789844,0.0651937,-1.66609,0.0596874
-2.688e-04,0.899219,0.0646281,-1.66641,0.0599999
-2.672e-04,1.09453,0.0645719,-1.66594,0.0599999
-2.656e-04,1.28828,0.0644031,-1.66055,0.0592187
-2.640e-04,1.50547,0.0642969,-1.65016,0.0587499
-2.624e-04,1.87031,0.0637937,-1.65,0.0601562
-2.608e-04,2.18516,0.0637094,-1.64992,0.0599999
-2.592e-04,2.64609,0.0636062,-1.65,0.0599999
-2.576e-04,3.23984,0.0630812,-1.65,0.0599999
-2.560e-04,4.10234,0.0629375,-1.64992,0.0599999
-2.544e-04,5.225,0.0628094,-1.64992,0.0582812
-2.528e-04,6.775,0.0628062,-1.64914,0.0599999
-2.512e-04,8.97266,0.0623906,-1.64695,0.0599999
-2.496e-04,11.8953,0.0621344,-1.64297,0.0381249
-2.480e-04,15.6203,0.0620781,-1.63563,0.0374999
-2.464e-04,19.8547,0.0620031,-1.63,0.0599999
-2.448e-04,24.0961,0.0617969,-1.63,0.0370312
-2.432e-04,27.6461,0.0613406,-1.62992,0.0381249
-2.416e-04,29.8781,0.0612156,-1.63,0.0592187
-2.400e-04,30.2609,0.0612031,-1.62992,0.0599999
-2.384e-04,28.7086,0.0608062,-1.62992,0.0585937
-2.368e-04,25.7211,0.0605656,-1.625,0.0579687
-2.352e-04,22.0984,0.0604687,-1.62578,0.0601562
-2.336e-04,18.4508,0.0604062,-1.62633,0.0589062
-2.320e-04,15.1039,0.0602375,-1.6268,0.0599999
-2.304e-04,12.2188,0.0597656,-1.62617,0.0599999
-2.288e-04,9.77891,0.0597094,-1.62141,0.0601562
-2.272e-04,7.86328,0.0596031,-1.61531,0.0599999
-2.256e-04,6.27266,0.0592156,-1.61,0.0581249
-2.240e-04,5.03047,0.0589281,-1.61,0.0601562
-2.224e-04,4.04375,0.0588594,-1.61,0.0598437
-2.208e-04,3.28359,0.0588125,-1.61,0.0599999
-2.192e-04,2.67188,0.0583719,-1.60992,0.0601562
-2.176e-04,2.14922,0.0581937,-1.61,0.0601562
-2.160e-04,1.79453,0.0580656,-1.6082,0.0599999
-2.144e-04,1.52031,0.0580031,-1.60992,0.0599999
-2.128e-04,1.2875,0.058,-1.60703,0.0599999
-2.112e-04,1.09844,0.0574687,-1.60734,0.0599999
-2.096e-04,0.904688,0.0572437,-1.60391,0.0599999
-2.080e-04,0.763282,0.0572031,-1.60055,0.0601562
-2.064e-04,0.700782,0.0572,-1.59711,0.0581249
-2.048e-04,0.553125,0.0566969,-1.59,0.0598437
-2.032e-04,0.500782,0.0565187,-1.59,0.0599999
-2.016e-04,0.4875,0.0564062,-1.59,0.0599999
-2.000e-04,0.376563,0.0564062,-1.59,0.0564062
-1.984e-04,0.3,0.0558406,-1.59,0.0599999
-1.968e-04,0.300782,0.0556781,-1.59,0.0598437
-1.952e-04,0.292969,0.0556125,-1.59,0.0584374
-1.936e-04,0.242188,0.0556094,-1.58891,0.0599999
-1.920e-04,0.129688,0.0550906,-1.58539,0.0599999
-1.904e-04,0.100782,0.0548469,-1.58273,0.0599999
-1.888e-04,0.1,0.0547969,-1.57914,0.0571874
-1.872e-04,0.1,0.0548031,-1.5743,0.0599999
-1.856e-04,0.1,0.0542437,-1.57,0.0599999
-1.840e-04,0.0992192,0.0540719,-1.57,0.0599999
-1.824e-04,0.079688,0.0540062,-1.57,0.0599999
-1.808e-04,0.00859423,0.0540125,-1.57,0.0599999
-1.792e-04,-0.0335933,0.0538094,-1.56992,0.0599999
-1.776e-04,-0.0726558,0.0533031,-1.56992,0.0599999
-1.760e-04,-0.0929683,0.0532062,-1.57,0.0582812
-1.744e-04,-0.0992183,0.0532,-1.56734,0.0599999
-1.728e-04,-0.0992183,0.05265,-1.56445,0.0599999
-1.712e-04,-0.0992183,0.0525469,-1.55867,0.0599999
-1.696e-04,-0.0992183,0.0524219,-1.55055,0.0599999
-1.680e-04,-0.0999995,0.0524,-1.54992,0.0601562
-1.664e-04,-0.0992183,0.0518469,-1.54992,0.0599999
-1.648e-04,-0.0999995,0.05165,-1.55,0.0599999
-1.632e-04,-0.0999995,0.0516031,-1.54992,0.0599999
-1.616e-04,-0.0999995,0.0513781,-1.54992,0.0598437
-1.600e-04,-0.0999995,0.0509812,-1.54992,0.0599999
-1.584e-04,-0.0999995,0.0508344,-1.54906,0.0599999
-1.568e-04,-0.0999995,0.0508125,-1.54648,0.0599999
-1.552e-04,-0.0999995,0.05065,-1.54992,0.0599999
-1.536e-04,-0.0999995,0.0501719,-1.54391,0.0601562
-1.520e-04,-0.0999995,0.0500719,-1.53859,0.0599999
-1.504e-04,-0.0999995,0.0500062,-1.53461,0.0399999
-1.488e-04,-0.0992183,0.0499812,-1.53008,0.0599999
-1.472e-04,-0.0999995,0.0493187,-1.53,0.0596874
-1.456e-04,-0.0999995,0.049225,-1.53,0.0601562
-1.440e-04,-0.110937,0.0491906,-1.53,0.0599999
-1.424e-04,-0.107031,0.04885,-1.53,0.0599999
-1.408e-04,-0.133593,0.0484031,-1.52992,0.0599999
-1.392e-04,-0.141406,0.0484,-1.53,0.0601562
-1.376e-04,-0.160937,0.0483531,-1.52953,0.0598437
-1.360e-04,-0.172656,0.0479531,-1.52547,0.0599999
-1.344e-04,-0.177343,0.0476344,-1.52391,0.0595312
-1.328e-04,-0.178906,0.0476062,-1.52102,0.0599999
-1.312e-04,-0.178906,0.047475,-1.51578,0.0599999
-1.296e-04,-0.190625,0.0470687,-1.51,0.0599999
-1.280e-04,-0.203906,0.0468406,-1.51,0.0599999
-1.264e-04,-0.194531,0.0468062,-1.51,0.0599999
-1.248e-04,-0.219531,0.0465812,-1.51,0.0599999
-1.232e-04,-0.228906,0.0461719,-1.50992,0.0599999
-1.216e-04,-0.223437,0.0460094,-1.50992,0.0601562
-1.200e-04,-0.222656,0.0460094,-1.50992,0.0601562
-1.184e-04,-0.232812,0.0459,-1.50602,0.0595312
-1.168e-04,-0.242187,0.0453969,-1.50398,0.0599999
-1.152e-04,-0.225781,0.0451844,-1.50047,0.0599999
-1.136e-04,-0.245312,0.0451812,-1.49859,0.0599999
-1.120e-04,-0.245312,0.0449656,-1.4932,0.0599999
-1.104e-04,-0.232812,0.0445344,-1.49,0.0599999
-1.088e-04,-0.253125,0.0444312,-1.49,0.0598437
-1.072e-04,-0.25,0.0444031,-1.49,0.0596874
-1.056e-04,-0.257812,0.0443156,-1.49,0.0601562
-1.040e-04,-0.251562,0.0438781,-1.49,0.0599999
-1.024e-04,-0.266406,0.0436469,-1.49,0.0599999
-1.008e-04,-0.259375,0.0435937,-1.49,0.0601562
-9.920e-05,-0.259375,0.0436062,-1.48625,0.0599999
-9.760e-05,-0.263281,0.0431469,-1.48383,0.0599999
-9.600e-05,-0.25625,0.042825,-1.47977,0.0599999
-9.440e-05,-0.260937,0.0428156,-1.47633,0.0599999
-9.280e-05,-0.25625,0.042725,-1.47055,0.0598437
-9.120e-05,-0.254687,0.0422219,-1.47,0.0595312
-8.960e-05,-0.263281,0.0420094,-1.47,0.0593749
-8.800e-05,-0.264843,0.0420031,-1.46992,0.0599999
-8.640e-05,-0.264843,0.0419156,-1.46992,0.0599999
