Model,MSO4104B
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,-4.5e-08
Sample Interval,2e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,-3.34
,
,
,
Label,
TIME,CH1
-9.904600e-06,0.0017
-9.904400e-06,0.0011
-9.904200e-06,0.0001
-9.904000e-06,-0.0005
-9.903800e-06,-0.0009
-9.903600e-06,0.0005
-9.903400e-06,0.0021
-9.903200e-06,0.0015
-9.903000e-06,0.0009
-9.902800e-06,-0.0005
-9.902600e-06,-0.0007
-9.902400e-06,0.0009
-9.902200e-06,0.0017
-9.902000e-06,0.0011
-9.901800e-06,0.0005
-9.901600e-06,-0.0009
-9.901400e-06,-0.0007
-9.901200e-06,0.0001
-9.901000e-06,0.0011
-9.900800e-06,0.0009
-9.900600e-06,0.0013
-9.900400e-06,0.0005
-9.900200e-06,0.0001
-9.900000e-06,-0.0009
-9.899800e-06,-0.0005
-9.899600e-06,0.0005
-9.899400e-06,0.0019
-9.899200e-06,0.0015
-9.899000e-06,0.0005
-9.898800e-06,-0.0011
-9.898600e-06,-0.0005
-9.898400e-06,0.0007
-9.898200e-06,0.0013
-9.898000e-06,0.0019
-9.897800e-06,0.0011
-9.897600e-06,-0.0007
-9.897400e-06,-0.0009
-9.897200e-06,-0.0001
-9.897000e-06,0.0019
-9.896800e-06,0.0021
-9.896600e-06,0.0011
-9.896400e-06,-0.0007
-9.896200e-06,-0.0013
-9.896000e-06,-0.0003
-9.895800e-06,0.0011
-9.895600e-06,0.0013
-9.895400e-06,0.0009
-9.895200e-06,0.0005
-9.895000e-06,0.0001
-9.894800e-06,-0.0003
-9.894600e-06,-0.0001
-9.894400e-06,0.0007
-9.894200e-06,0.0019
-9.894000e-06,0.0017
-9.893800e-06,-0.0003
-9.893600e-06,-0.0005
-9.893400e-06,-0.0001
-9.893200e-06,0.0005
-9.893000e-06,0.0021
-9.892800e-06,0.0019
-9.892600e-06,0.0011
-9.892400e-06,-0.0003
-9.892200e-06,-0.0005
-9.892000e-06,0.0003
-9.891800e-06,0.0009
-9.891600e-06,0.0015
-9.891400e-06,0.0009
-9.891200e-06,-0.0003
-9.891000e-06,-0.0011
-9.890800e-06,0.0001
-9.890600e-06,0.0007
-9.890400e-06,0.0011
-9.890200e-06,0.0013
-9.890000e-06,0.0003
-9.889800e-06,-0.0001
-9.889600e-06,-0.0003
-9.889400e-06,-0.0003
-9.889200e-06,0.0007
-9.889000e-06,0.0013
-9.888800e-06,0.0015
-9.888600e-06,0.0007
-9.888400e-06,-0.0005
-9.888200e-06,-0.0003
-9.888000e-06,0.0007
-9.887800e-06,0.0015
-9.887600e-06,0.0015
-9.887400e-06,0.0009
-9.887200e-06,-0.0003
-9.887000e-06,-0.0005
-9.886800e-06,-0.0001
-9.886600e-06,0.0009
-9.886400e-06,0.0015
-9.886200e-06,0.0011
-9.886000e-06,0.0003
-9.885800e-06,-0.0001
-9.885600e-06,-0.0003
-9.885400e-06,0.0007
-9.885200e-06,0.0015
-9.885000e-06,0.0013
-9.884800e-06,0.0009
-9.884600e-06,0.0005
-9.884400e-06,-0.0003
-9.884200e-06,-0.0007
-9.884000e-06,0.0001
-9.883800e-06,0.0017
-9.883600e-06,0.0021
-9.883400e-06,0.0009
-9.883200e-06,-0.0001
-9.883000e-06,-0.0007
-9.882800e-06,0.0001
-9.882600e-06,0.0017
-9.882400e-06,0.0021
-9.882200e-06,0.0011
-9.882000e-06,-0.0007
-9.881800e-06,-0.0009
-9.881600e-06,-0.0005
-9.881400e-06,0.0009
-9.881200e-06,0.0017
-9.881000e-06,0.0015
-9.880800e-06,0.0003
-9.880600e-06,-0.0007
-9.880400e-06,-0.0005
-9.880200e-06,0.0003
-9.880000e-06,0.0015
-9.879800e-06,0.0021
-9.879600e-06,0.0013
-9.879400e-06,-0.0001
-9.879200e-06,-0.0013
-9.879000e-06,-0.0003
-9.878800e-06,0.0011
-9.878600e-06,0.0021
-9.878400e-06,0.0019
-9.878200e-06,0.0011
-9.878000e-06,-0.0011
-9.877800e-06,-0.0013
-9.877600e-06,-0.0001
-9.877400e-06,0.0023
-9.877200e-06,0.0029
-9.877000e-06,0.0017
-9.876800e-06,-0.0013
-9.876600e-06,-0.0017
-9.876400e-06,-0.0013
-9.876200e-06,0.0017
-9.876000e-06,0.0029
-9.875800e-06,0.0021
-9.875600e-06,-0.0003
-9.875400e-06,-0.0015
-9.875200e-06,-0.0009
-9.875000e-06,0.0013
-9.874800e-06,0.0025
-9.874600e-06,0.0027
-9.874400e-06,0.0003
-9.874200e-06,-0.0017
-9.874000e-06,-0.0019
-9.873800e-06,-0.0003
-9.873600e-06,0.0019
-9.873400e-06,0.0029
-9.873200e-06,0.0017
-9.873000e-06,-0.0005
-9.872800e-06,-0.0021
-9.872600e-06,-0.0011
-9.872400e-06,0.0011
-9.872200e-06,0.0029
-9.872000e-06,0.0029
-9.871800e-06,0.0011
-9.871600e-06,-0.0021
-9.871400e-06,-0.0029
-9.871200e-06,-0.0003
-9.871000e-06,0.0029
-9.870800e-06,0.0033
-9.870600e-06,0.0013
-9.870400e-06,-0.0021
-9.870200e-06,-0.0029
-9.870000e-06,-0.0005
-9.869800e-06,0.0027
-9.869600e-06,0.0037
-9.869400e-06,0.0021
-9.869200e-06,-0.0007
-9.869000e-06,-0.0017
-9.868800e-06,-0.0015
-9.868600e-06,0.0015
-9.868400e-06,0.0033
-9.868200e-06,0.0025
-9.868000e-06,0.0003
-9.867800e-06,-0.0017
-9.867600e-06,-0.0015
-9.867400e-06,0.0009
-9.867200e-06,0.0023
-9.867000e-06,0.0033
-9.866800e-06,0.0019
-9.866600e-06,-0.0007
-9.866400e-06,-0.0023
-9.866200e-06,-0.0013
-9.866000e-06,0.0013
-9.865800e-06,0.0033
-9.865600e-06,0.0027
-9.865400e-06,0.0003
-9.865200e-06,-0.0025
-9.865000e-06,-0.0023
-9.864800e-06,0.0005
-9.864600e-06,0.0037
-9.864400e-06,0.0035
-9.864200e-06,0.0011
-9.864000e-06,-0.0023
-9.863800e-06,-0.0027
-9.863600e-06,-0.0001
-9.863400e-06,0.0027
-9.863200e-06,0.0037
-9.863000e-06,0.0021
-9.862800e-06,-0.0013
-9.862600e-06,-0.0025
-9.862400e-06,-0.0009
-9.862200e-06,0.0015
-9.862000e-06,0.0031
-9.861800e-06,0.0025
-9.861600e-06,0.0001
-9.861400e-06,-0.0021
