
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
1.63;0.231;1.60;0.23;
1.64;0.232;0.40;0.06;
1.64;0.233;0.80;0.12;
1.65;0.234;-0.00;-0.00;
1.65;0.234;-0.30;-0.04;
1.66;0.235;0.50;0.07;
1.66;0.235;-0.00;-0.00;
1.67;0.236;0.40;0.06;
1.67;0.236;0.10;0.01;
1.68;0.237;0.30;0.04;
1.68;0.238;0.20;0.03;
1.69;0.238;0.20;0.03;
1.70;0.240;0.80;0.12;
1.70;0.240;0.50;0.07;
1.71;0.241;0.20;0.03;
1.71;0.242;0.20;0.03;
1.72;0.242;-0.10;-0.01;
1.72;0.243;0.30;0.04;
1.73;0.243;0.60;0.09;
1.73;0.244;0.20;0.03;
1.74;0.244;1.00;0.15;
1.74;0.245;0.60;0.09;
1.75;0.246;1.80;0.26;
1.75;0.247;1.70;0.25;
1.75;0.248;0.90;0.13;
1.76;0.248;0.90;0.13;
1.76;0.249;-0.10;-0.01;
1.77;0.250;-0.50;-0.07;
1.77;0.250;0.30;0.04;
1.78;0.250;-0.00;-0.00;
1.78;0.252;-0.00;-0.00;
1.79;0.252;0.90;0.13;
1.79;0.252;0.30;0.04;
1.80;0.254;0.20;0.03;
1.80;0.254;0.40;0.06;
1.81;0.255;0.30;0.04;
1.82;0.255;-0.10;-0.01;
1.82;0.256;0.10;0.01;
1.83;0.257;0.40;0.06;
1.83;0.257;0.30;0.04;
1.84;0.258;0.60;0.09;
1.84;0.259;0.70;0.10;
1.85;0.259;0.50;0.07;
1.85;0.260;-0.50;-0.07;
1.86;0.261;-0.60;-0.09;
1.86;0.262;-1.20;-0.18;
1.87;0.262;-1.20;-0.18;
1.87;0.262;-0.50;-0.07;
1.88;0.264;-0.30;-0.04;
1.88;0.264;0.70;0.10;
1.88;0.264;-0.00;-0.00;
1.89;0.266;0.40;0.06;
1.89;0.266;0.30;0.04;
1.90;0.266;-0.30;-0.04;
1.90;0.268;0.10;0.01;
1.91;0.268;-0.00;-0.00;
1.91;0.269;-0.10;-0.01;
1.92;0.269;-0.60;-0.09;
1.92;0.270;-0.50;-0.07;
1.93;0.271;-0.80;-0.12;
1.93;0.271;-0.60;-0.09;
1.94;0.272;-0.50;-0.07;
1.95;0.273;-0.30;-0.04;
1.95;0.273;-0.10;-0.01;
1.96;0.274;0.50;0.07;
1.96;0.275;0.70;0.10;
1.97;0.275;0.30;0.04;
1.97;0.276;-0.50;-0.07;
1.98;0.276;-1.20;-0.18;
1.98;0.278;-0.70;-0.10;
1.99;0.278;-0.60;-0.09;
1.99;0.278;0.30;0.04;
2.00;0.280;0.70;0.10;
2.00;0.280;0.90;0.13;
2.01;0.280;0.60;0.09;
2.01;0.282;0.90;0.13;
2.02;0.282;1.50;0.22;
